Team,Year,Total_Plays
ARI,2017,1408.0
ATL,2017,1280.0
BAL,2017,1385.0
BUF,2017,1349.6470588235295
CAR,2017,1348.7058823529412
CHI,2017,1268.0
CIN,2017,1233.0
CLE,2017,1321.0
DAL,2017,1319.0
DEN,2017,1400.0
DET,2017,1310.0
GB,2017,1301.0
HOU,2017,1394.0
IND,2017,1327.0
JAX,2017,1406.3157894736842
KC,2017,1311.0588235294117
LA,2017,1343.0588235294117
LAC,2017,1332.0
LV,2017,1276.0
MIA,2017,1314.0
MIN,2017,1384.0
NE,2017,1417.2631578947369
NO,2017,1304.888888888889
NYG,2017,1371.0
NYJ,2017,1326.0
PHI,2017,1395.3684210526317
PIT,2017,1388.235294117647
SEA,2017,1356.0
SF,2017,1383.0
TB,2017,1362.0
TEN,2017,1306.6666666666667
WAS,2017,1304.0
ARI,2016,1448.0
ATL,2016,1317.8947368421052
BAL,2016,1413.0
BUF,2016,1371.0
CAR,2016,1399.0
CHI,2016,1281.0
CIN,2016,1359.0
CLE,2016,1315.0
DAL,2016,1325.1764705882354
DEN,2016,1361.0
DET,2016,1280.0
GB,2016,1365.0526315789473
HOU,2016,1392.0
IND,2016,1386.0
JAX,2016,1406.0
KC,2016,1312.0
LA,2016,1290.0
LAC,2016,1357.0
LV,2016,1430.5882352941176
MIA,2016,1235.764705882353
MIN,2016,1330.0
NE,2016,1414.7368421052631
NO,2016,1457.0
NYG,2016,1323.2941176470588
NYJ,2016,1314.0
PHI,2016,1416.0
PIT,2016,1346.5263157894738
SEA,2016,1318.2222222222222
SF,2016,1333.0
TB,2016,1410.0
TEN,2016,1352.0
WAS,2016,1332.0
ARI,2015,1374.2222222222222
ATL,2015,1386.0
BAL,2015,1417.0
BUF,2015,1376.0
CAR,2015,1402.9473684210527
CHI,2015,1351.0
CIN,2015,1332.7058823529412
CLE,2015,1385.0
DAL,2015,1288.0
DEN,2015,1381.8947368421052
DET,2015,1352.0
GB,2015,1420.4444444444443
HOU,2015,1458.8235294117644
IND,2015,1399.0
JAX,2015,1344.0
KC,2015,1295.111111111111
LA,2015,1261.0
LAC,2015,1458.0
LV,2015,1381.0
MIA,2015,1320.0
MIN,2015,1272.470588235294
NE,2015,1398.2222222222222
NO,2015,1455.0
NYG,2015,1414.0
NYJ,2015,1411.0
PHI,2015,1471.0
PIT,2015,1343.111111111111
SEA,2015,1335.111111111111
SF,2015,1291.0
TB,2015,1361.0
TEN,2015,1299.0
WAS,2015,1349.6470588235295
ARI,2018,1216.0
ATL,2018,1327.0
BAL,2018,1444.7058823529414
BUF,2018,1348.0
CAR,2018,1319.0
CHI,2018,1343.0588235294117
CIN,2018,1292.0
CLE,2018,1366.0
DAL,2018,1328.888888888889
DEN,2018,1343.0
DET,2018,1339.0
GB,2018,1358.0
HOU,2018,1383.529411764706
IND,2018,1392.888888888889
JAX,2018,1307.0
KC,2018,1341.3333333333333
LA,2018,1393.6842105263158
LAC,2018,1269.3333333333333
LV,2018,1336.0
MIA,2018,1209.0
MIN,2018,1323.0
NE,2018,1430.7368421052631
NO,2018,1325.3333333333333
NYG,2018,1313.0
NYJ,2018,1308.0
PHI,2018,1328.888888888889
PIT,2018,1377.0
SEA,2018,1350.5882352941176
SF,2018,1334.0
TB,2018,1395.0
TEN,2018,1250.0
WAS,2018,1302.0
ARI,2024,1369.0
ATL,2024,1421.0
BAL,2024,1394.0
BUF,2024,1388.0500000000002
CAR,2024,1353.0
CHI,2024,1427.0
CIN,2024,1426.0
CLE,2024,1471.0
DAL,2024,1478.0
DEN,2024,1365.6666666666663
DET,2024,1426.111111111111
GB,2024,1362.8333333333337
HOU,2024,1414.5789473684213
IND,2024,1376.0
JAX,2024,1305.0
KC,2024,1378.6999999999998
LA,2024,1356.4210526315787
LAC,2024,1344.888888888889
LV,2024,1403.0
MIA,2024,1408.0
MIN,2024,1406.2777777777778
NE,2024,1380.0
NO,2024,1369.0
NYG,2024,1413.0
NYJ,2024,1339.0
PHI,2024,1446.6190476190477
PIT,2024,1400.611111111111
SEA,2024,1401.0
SF,2024,1358.0
TB,2024,1404.388888888889
TEN,2024,1384.0
WAS,2024,1461.15
ARI,2019,1329.0
ATL,2019,1441.0
BAL,2019,1395.764705882353
BUF,2019,1363.764705882353
CAR,2019,1406.0
CHI,2019,1333.0
CIN,2019,1380.0
CLE,2019,1311.0
DAL,2019,1377.0
DEN,2019,1288.0
DET,2019,1363.0
GB,2019,1348.4444444444443
HOU,2019,1352.888888888889
IND,2019,1325.0
JAX,2019,1348.0
KC,2019,1317.0526315789473
LA,2019,1404.0
LAC,2019,1297.0
LV,2019,1293.0
MIA,2019,1354.0
MIN,2019,1278.2222222222222
NE,2019,1401.4117647058824
NO,2019,1338.3529411764705
NYG,2019,1334.0
NYJ,2019,1300.0
PHI,2019,1424.0
PIT,2019,1261.0
SEA,2019,1384.0
SF,2019,1316.2105263157894
TB,2019,1430.0
TEN,2019,1275.7894736842106
WAS,2019,1215.0
ARI,2022,1487.0
ATL,2022,1322.0
BAL,2022,1361.888888888889
BUF,2022,1421.388888888889
CAR,2022,1304.0
CHI,2022,1303.0
CIN,2022,1447.6842105263158
CLE,2022,1434.0
DAL,2022,1436.0526315789473
DEN,2022,1436.0
DET,2022,1421.0
GB,2022,1354.0
HOU,2022,1335.0
IND,2022,1427.0
JAX,2022,1392.2105263157894
KC,2022,1404.1999999999998
LA,2022,1311.0
LAC,2022,1485.611111111111
LV,2022,1380.0
MIA,2022,1343.0
MIN,2022,1474.2777777777778
NE,2022,1330.0
NO,2022,1333.0
NYG,2022,1414.5789473684213
NYJ,2022,1404.0
PHI,2022,1464.5500000000002
PIT,2022,1438.0
SEA,2022,1392.111111111111
SF,2022,1348.9499999999998
TB,2022,1504.5
TEN,2022,1327.0
WAS,2022,1473.0
ARI,2023,1413.0
ATL,2023,1424.0
BAL,2023,1402.9473684210527
BUF,2023,1427.1052631578948
CAR,2023,1432.0
CHI,2023,1415.0
CIN,2023,1379.0
CLE,2023,1530.0
DAL,2023,1465.7777777777778
DEN,2023,1364.0
DET,2023,1450.1
GB,2023,1362.6842105263158
HOU,2023,1395.7894736842106
IND,2023,1450.0
JAX,2023,1449.0
KC,2023,1403.7142857142858
LA,2023,1413.8333333333337
LAC,2023,1432.0
LV,2023,1311.0
MIA,2023,1374.1666666666663
MIN,2023,1386.0
NE,2023,1326.0
NO,2023,1448.0
NYG,2023,1397.0
NYJ,2023,1411.0
PHI,2023,1425.1666666666663
PIT,2023,1351.5
SEA,2023,1336.0
SF,2023,1362.5500000000002
TB,2023,1384.157894736842
TEN,2023,1351.0
WAS,2023,1403.0
ARI,2021,1441.2222222222222
ATL,2021,1339.0
BAL,2021,1524.0
BUF,2021,1438.7368421052631
CAR,2021,1427.0
CHI,2021,1389.0
CIN,2021,1377.809523809524
CLE,2021,1371.0
DAL,2021,1524.3333333333337
DEN,2021,1340.0
DET,2021,1397.0
GB,2021,1377.9444444444446
HOU,2021,1365.0
IND,2021,1391.0
JAX,2021,1369.0
KC,2021,1464.5500000000002
LA,2021,1384.2857142857142
LAC,2021,1466.0
LV,2021,1449.7222222222222
MIA,2021,1442.0
MIN,2021,1440.0
NE,2021,1373.2222222222222
NO,2021,1390.0
NYG,2021,1379.0
NYJ,2021,1363.0
PHI,2021,1387.388888888889
PIT,2021,1470.5
SEA,2021,1275.0
SF,2021,1342.15
TB,2021,1472.7368421052631
TEN,2021,1453.5
WAS,2021,1399.0
ARI,2020,1407.0
ATL,2020,1390.0
BAL,2020,1293.3333333333333
BUF,2020,1349.0526315789473
CAR,2020,1292.0
CHI,2020,1335.529411764706
CIN,2020,1372.0
CLE,2020,1340.4444444444443
DAL,2020,1423.0
DEN,2020,1358.0
DET,2020,1319.0
GB,2020,1304.888888888889
HOU,2020,1249.0
IND,2020,1354.3529411764705
JAX,2020,1293.0
KC,2020,1366.7368421052631
LA,2020,1376.888888888889
LAC,2020,1446.0
LV,2020,1351.0
MIA,2020,1336.0
MIN,2020,1365.0
NE,2020,1245.0
NO,2020,1352.888888888889
NYG,2020,1273.0
NYJ,2020,1264.0
PHI,2020,1404.0
PIT,2020,1387.2941176470588
SEA,2020,1336.470588235294
SF,2020,1360.0
TB,2020,1341.6
TEN,2020,1340.235294117647
WAS,2020,1360.9411764705883
