Rank,Player,Fantasy Points,Fantasy Points/Game,Receptions (Advanced),Targets (Advanced),Target Share %,Catchable Targets,Drops,Receiving Yards (Advanced),Yards/Reception (Advanced),Yards Before Catch,Yards Before Catch/Reception,Yards After Catch,Yards After Catch/Reception,Yards After Contact,Yards After Contact/Reception,Broken Tackles,Receiving TD (Basic),Receptions 10+ Yards,Receptions 20+ Yards,Receptions 30+ Yards,Receptions 40+ Yards,Receptions 50+ Yards,Red Zone Targets,routes_run,yprr,TPRR,Fumbles Lost,redzone_touches,goal_line_touches,Games Played (Advanced),Year,Position,posteam,player_id,player_name,targets,yac
"Overall fantasy ranking for the player","Player name","Total fantasy points scored","Average fantasy points per game","Receptions (advanced tracking)","Targets (advanced tracking)","Target share percentage","Catchable targets","Number of drops","Receiving yards (advanced tracking)","Yards per reception (advanced)","Yards before catch","Yards before catch per reception","Yards after catch (YAC)","Yards after catch per reception","Yards after contact","Yards after contact per reception","Broken tackles","Receiving touchdowns (basic)","Receptions of 10+ yards","Receptions of 20+ yards","Receptions of 30+ yards","Receptions of 40+ yards","Receptions of 50+ yards","Red zone targets","Routes run","Yards per route run (YPRR)","Targets per route run (TPRR)","Fumbles lost","Red zone touches","Goal line touches","Games played (advanced tracking)","Season year","Player position","Posteam","Unique player identifier","Player display name","Targets (raw count)","Yards after catch (raw count)"
1.0,Travis Kelce (KC),312.8,20.9,105.0,145.0,23.7%,110.0,2.0,"1,416",13.5,833.0,7.9,583.0,5.6,261.0,2.5,10.0,11.0,67.0,23.0,4.0,2.0,0.0,20.0,186.0,9.548387096774194,0.9946236559139784,1.0,31.0,7.0,15.0,2020,TE,KC,00-0030506,T.Kelce,185.0,718.0
2.0,Darren Waller (MIA),278.6,17.4,107.0,145.0,27.7%,112.0,4.0,"1,196",11.2,624.0,5.8,572.0,5.3,215.0,2.0,7.0,9.0,44.0,16.0,3.0,0.0,0.0,22.0,146.0,8.191780821917808,0.9931506849315068,2.0,24.0,7.0,16.0,2020,TE,LV,00-0031610,D.Waller,145.0,572.0
3.0,Robert Tonyan (KC),176.6,11.0,52.0,59.0,11.8%,52.0,0.0,586,11.3,352.0,6.8,234.0,4.5,28.0,0.5,0.0,11.0,22.0,9.0,3.0,1.0,0.0,11.0,67.0,9.970149253731345,1.0,0.0,12.0,4.0,16.0,2020,TE,GB,00-0033757,R.Tonyan,67.0,268.0
4.0,Logan Thomas (FA),176.6,11.0,72.0,110.0,19.2%,80.0,7.0,670,9.3,382.0,5.3,288.0,4.0,93.0,1.3,3.0,6.0,26.0,5.0,1.0,0.0,0.0,17.0,121.0,6.148760330578512,0.9834710743801652,0.0,22.0,4.0,16.0,2020,TE,WAS,00-0031260,L.Thomas,119.0,317.0
5.0,T.J. Hockenson (MIN),175.3,11.0,67.0,101.0,18.0%,74.0,7.0,723,10.8,394.0,5.9,329.0,4.9,78.0,1.2,4.0,6.0,33.0,6.0,2.0,1.0,1.0,15.0,102.0,7.088235294117647,0.9901960784313726,1.0,18.0,9.0,16.0,2020,TE,DET,00-0035229,T.Hockenson,101.0,329.0
6.0,Mark Andrews (BAL),170.1,12.2,58.0,88.0,22.4%,64.0,5.0,701,12.1,519.0,8.9,182.0,3.1,69.0,1.2,2.0,7.0,31.0,10.0,3.0,0.0,0.0,16.0,105.0,7.333333333333333,1.0,0.0,22.0,4.0,14.0,2020,TE,BAL,00-0034753,M.Andrews,105.0,207.0
7.0,Mike Gesicki (CIN),159.3,10.6,53.0,85.0,15.5%,57.0,2.0,703,13.3,539.0,10.2,164.0,3.1,66.0,1.2,0.0,6.0,29.0,10.0,2.0,1.0,1.0,14.0,85.0,8.270588235294118,1.0,0.0,16.0,4.0,15.0,2020,TE,MIA,00-0034829,M.Gesicki,85.0,167.0
8.0,Rob Gronkowski (FA),149.3,9.3,45.0,77.0,12.7%,47.0,2.0,623,13.8,377.0,8.4,246.0,5.5,92.0,2.0,1.0,7.0,22.0,10.0,4.0,2.0,0.0,14.0,91.0,8.054945054945055,1.0,0.0,23.0,6.0,16.0,2020,TE,TB,00-0027656,R.Gronkowski,91.0,322.0
9.0,Noah Fant (CIN),149.3,10.0,62.0,93.0,17.4%,67.0,5.0,673,10.9,296.0,4.8,377.0,6.1,123.0,2.0,4.0,3.0,27.0,8.0,3.0,0.0,0.0,10.0,94.0,7.159574468085107,0.9893617021276596,0.0,13.0,1.0,15.0,2020,TE,DEN,00-0035644,N.Fant,93.0,377.0
10.0,Hayden Hurst (FA),149.1,9.3,56.0,88.0,14.5%,59.0,3.0,571,10.2,302.0,5.4,269.0,4.8,40.0,0.7,2.0,6.0,24.0,5.0,2.0,1.0,0.0,15.0,89.0,6.415730337078652,0.9887640449438202,0.0,16.0,4.0,16.0,2020,TE,ATL,00-0034830,H.Hurst,88.0,245.0
11.0,Dalton Schultz (HOU),146.5,9.2,63.0,89.0,14.4%,68.0,4.0,615,9.8,336.0,5.3,279.0,4.4,115.0,1.8,8.0,4.0,27.0,3.0,0.0,0.0,0.0,14.0,89.0,6.910112359550562,1.0,1.0,14.0,2.0,16.0,2020,TE,DAL,00-0034383,D.Schultz,89.0,279.0
12.0,Hunter Henry (NE),145.3,10.4,60.0,93.0,15.2%,64.0,2.0,613,10.2,369.0,6.2,244.0,4.1,96.0,1.6,3.0,4.0,29.0,5.0,1.0,0.0,0.0,14.0,93.0,6.591397849462366,1.0,0.0,14.0,5.0,14.0,2020,TE,LAC,00-0033090,H.Henry,93.0,226.0
13.0,Jimmy Graham (FA),143.6,9.0,50.0,76.0,12.8%,51.0,1.0,456,9.1,258.0,5.2,198.0,4.0,37.0,0.7,1.0,8.0,21.0,4.0,1.0,0.0,0.0,19.0,78.0,6.166666666666667,1.0,0.0,21.0,7.0,16.0,2020,TE,CHI,00-0027696,J.Graham,78.0,202.0
14.0,Eric Ebron (FA),141.8,9.5,56.0,91.0,14.0%,63.0,7.0,558,10.0,366.0,6.5,192.0,3.4,59.0,1.1,0.0,5.0,24.0,6.0,0.0,0.0,0.0,16.0,103.0,6.019417475728155,0.9902912621359224,1.0,23.0,6.0,15.0,2020,TE,PIT,00-0031387,E.Ebron,102.0,228.0
15.0,Evan Engram (DEN),141.0,8.8,63.0,109.0,21.8%,76.0,11.0,654,10.4,367.0,5.8,287.0,4.6,95.0,1.5,4.0,1.0,26.0,6.0,3.0,2.0,1.0,13.0,109.0,6.0,1.0,1.0,16.0,2.0,16.0,2020,TE,NYG,00-0033881,E.Engram,109.0,287.0
16.0,Jonnu Smith (PIT),140.2,9.3,41.0,65.0,13.9%,45.0,3.0,448,10.9,210.0,5.1,238.0,5.8,58.0,1.4,2.0,8.0,17.0,4.0,2.0,1.0,1.0,17.0,69.0,6.6231884057971016,0.9855072463768116,0.0,20.0,9.0,15.0,2020,TE,TEN,00-0033858,J.Smith,68.0,240.0
17.0,Tyler Higbee (LAR),128.2,8.5,44.0,60.0,10.7%,47.0,3.0,521,11.8,283.0,6.4,238.0,5.4,106.0,2.4,4.0,5.0,18.0,9.0,4.0,1.0,0.0,6.0,66.0,8.030303030303031,0.9848484848484848,0.0,7.0,5.0,15.0,2020,TE,LA,00-0033110,T.Higbee,65.0,238.0
18.0,Jared Cook (FA),127.4,8.5,37.0,60.0,11.8%,39.0,2.0,504,13.6,380.0,10.3,124.0,3.4,60.0,1.6,2.0,7.0,21.0,6.0,3.0,3.0,0.0,12.0,74.0,7.72972972972973,1.0,1.0,16.0,1.0,15.0,2020,TE,NO,00-0027061,J.Cook,74.0,147.0
19.0,George Kittle (SF),125.1,15.6,48.0,63.0,11.4%,53.0,5.0,634,13.2,340.0,7.1,294.0,6.1,91.0,1.9,1.0,2.0,30.0,8.0,3.0,2.0,0.0,3.0,64.0,9.90625,0.984375,0.0,6.0,2.0,8.0,2020,TE,SF,00-0033288,G.Kittle,63.0,297.0
20.0,Dallas Goedert (PHI),116.4,10.6,46.0,65.0,11.6%,47.0,1.0,524,11.4,318.0,6.9,206.0,4.5,89.0,1.9,6.0,3.0,23.0,7.0,3.0,1.0,0.0,6.0,65.0,8.061538461538461,1.0,0.0,6.0,2.0,11.0,2020,TE,PHI,00-0034351,D.Goedert,65.0,202.0
21.0,Austin Hooper (NE),113.5,8.7,46.0,70.0,15.0%,48.0,2.0,435,9.5,261.0,5.7,174.0,3.8,39.0,0.8,1.0,4.0,18.0,3.0,1.0,0.0,0.0,9.0,84.0,5.916666666666667,1.0,0.0,14.0,6.0,13.0,2020,TE,CLE,00-0032392,A.Hooper,84.0,180.0
22.0,Irv Smith Jr. (HOU),98.5,7.6,30.0,43.0,8.9%,31.0,1.0,365,12.2,239.0,8.0,126.0,4.2,49.0,1.6,2.0,5.0,18.0,6.0,1.0,0.0,0.0,10.0,,,,0.0,,,13.0,2020,TE,,,,,
23.0,Dan Arnold (FA),96.8,6.1,31.0,45.0,8.3%,33.0,1.0,438,14.1,272.0,8.8,166.0,5.4,23.0,0.7,0.0,4.0,17.0,8.0,2.0,2.0,1.0,6.0,45.0,9.733333333333333,1.0,1.0,6.0,2.0,16.0,2020,TE,ARI,00-0034011,D.Arnold,45.0,173.0
24.0,Gerald Everett (FA),92.9,5.8,41.0,62.0,11.0%,47.0,6.0,417,10.2,174.0,4.2,243.0,5.9,70.0,1.7,6.0,1.0,21.0,3.0,1.0,1.0,0.0,5.0,64.0,6.515625,1.0,1.0,6.0,2.0,16.0,2020,TE,LA,00-0033895,G.Everett,64.0,243.0
25.0,Jordan Akins (FA),83.7,6.4,37.0,49.0,9.3%,40.0,3.0,403,10.9,231.0,6.2,172.0,4.6,64.0,1.7,3.0,1.0,16.0,7.0,0.0,0.0,0.0,8.0,49.0,8.224489795918368,1.0,0.0,8.0,1.0,13.0,2020,TE,HOU,00-0034364,J.Akins,49.0,172.0
